Price,Close,High,Low,Open,Volume
Ticker,TON11419-USD,TON11419-USD,TON11419-USD,TON11419-USD,TON11419-USD
Datetime,,,,,
2024-03-06 00:00:00+00:00,2.613645553588867,2.634840965270996,2.5935325622558594,2.5946061611175537,0
2024-03-06 01:00:00+00:00,2.6040635108947754,2.6136889457702637,2.5807034969329834,2.608835220336914,653392
2024-03-06 02:00:00+00:00,2.5891318321228027,2.6036767959594727,2.5713486671447754,2.590726137161255,1800768
2024-03-06 03:00:00+00:00,2.5911993980407715,2.5911993980407715,2.5655105113983154,2.569638729095459,1430160
2024-03-06 04:00:00+00:00,2.622307062149048,2.622307062149048,2.5906224250793457,2.5906224250793457,0
2024-03-06 05:00:00+00:00,2.6489479541778564,2.6566858291625977,2.622682571411133,2.6279215812683105,124016
2024-03-06 06:00:00+00:00,2.6782541275024414,2.6788477897644043,2.6575095653533936,2.6575095653533936,12794416
2024-03-06 07:00:00+00:00,2.693718671798706,2.693718671798706,2.6662185192108154,2.677001714706421,98592
2024-03-06 08:00:00+00:00,2.6810169219970703,2.704712390899658,2.6810169219970703,2.6944634914398193,1769552
2024-03-06 09:00:00+00:00,2.6537983417510986,2.689189910888672,2.6537983417510986,2.6826980113983154,2462480
2024-03-06 10:00:00+00:00,2.672067642211914,2.6722640991210938,2.645486354827881,2.645486354827881,1192368
2024-03-06 11:00:00+00:00,2.696053981781006,2.696053981781006,2.6720149517059326,2.6720149517059326,3014304
2024-03-06 12:00:00+00:00,2.674372911453247,2.7052559852600098,2.6574463844299316,2.6983461380004883,2463168
2024-03-06 13:00:00+00:00,2.666750192642212,2.666750192642212,2.6274893283843994,2.660313606262207,4250944
2024-03-06 14:00:00+00:00,2.7508671283721924,2.7508671283721924,2.67584490776062,2.6800642013549805,9303024
2024-03-06 15:00:00+00:00,2.7045745849609375,2.7268285751342773,2.675459861755371,2.7268285751342773,3101664
2024-03-06 16:00:00+00:00,2.678100824356079,2.7086477279663086,2.6703972816467285,2.7029881477355957,811776
2024-03-06 17:00:00+00:00,2.7003188133239746,2.702449321746826,2.6819894313812256,2.685016632080078,0
2024-03-06 18:00:00+00:00,2.6990156173706055,2.7027130126953125,2.6927528381347656,2.7027130126953125,0
2024-03-06 19:00:00+00:00,2.7024002075195312,2.703462600708008,2.6945300102233887,2.703462600708008,0
2024-03-06 20:00:00+00:00,2.7058327198028564,2.70589017868042,2.6946585178375244,2.6946585178375244,0
